Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
2320,2016,04,13,04/13/2016,07:40 PM,Giants,NL,Rockies,NL
2244,2016,04,13,04/13/2016,09:10 PM,Diamondbacks,NL,Dodgers,NL
785,2016,04,13,04/13/2016,12:10 PM,Marlins,NL,Mets,NL
2321,2016,04,14,04/14/2016,02:10 PM,Giants,NL,Rockies,NL
628,2016,04,14,04/14/2016,03:05 PM,Braves,NL,Nationals,NL
313,2016,04,14,04/14/2016,06:07 PM,Yankees,AL,Blue Jays,AL
1603,2016,04,14,04/14/2016,07:05 PM,Reds,NL,Cubs,NL
9,2016,04,14,04/14/2016,07:05 PM,Orioles,AL,Rangers,AL
1508,2016,04,14,04/14/2016,07:10 PM,Royals,AL,Astros,AL
2245,2016,04,14,04/14/2016,09:10 PM,Diamondbacks,NL,Dodgers,NL
1431,2016,04,14,04/14/2016,11:35 AM,Tigers,AL,Pirates,NL
1043,2016,04,14,04/14/2016,12:05 PM,Padres,NL,Phillies,NL
435,2016,04,14,04/14/2016,12:10 PM,Indians,AL,Rays,AL
1229,2016,04,14,04/14/2016,12:10 PM,White Sox,AL,Twins,AL
1834,2016,04,14,04/14/2016,12:45 PM,Brewers,NL,Cardinals,NL
1604,2016,04,15,04/15/2016,01:20 PM,Rockies,NL,Cubs,NL
1044,2016,04,15,04/15/2016,06:05 PM,Nationals,NL,Phillies,NL
1835,2016,04,15,04/15/2016,06:05 PM,Brewers,NL,Pirates,NL
314,2016,04,15,04/15/2016,06:05 PM,Mariners,AL,Yankees,AL
922,2016,04,15,04/15/2016,06:10 PM,Mets,NL,Indians,AL
629,2016,04,15,04/15/2016,06:10 PM,Braves,NL,Marlins,NL
436,2016,04,15,04/15/2016,06:10 PM,White Sox,AL,Rays,AL
168,2016,04,15,04/15/2016,06:10 PM,Blue Jays,AL,Red Sox,AL
10,2016,04,15,04/15/2016,07:05 PM,Orioles,AL,Rangers,AL
1432,2016,04,15,04/15/2016,07:10 PM,Tigers,AL,Astros,AL
1559,2016,04,15,04/15/2016,07:10 PM,Angels,AL,Twins,AL
1723,2016,04,15,04/15/2016,07:15 PM,Reds,NL,Cardinals,NL
1509,2016,04,15,04/15/2016,09:05 PM,Royals,AL,Athletics,AL
2380,2016,04,15,04/15/2016,09:10 PM,Giants,NL,Dodgers,NL
2246,2016,04,15,04/15/2016,09:40 PM,Diamondbacks,NL,Padres,NL
1560,2016,04,16,04/16/2016,01:10 PM,Angels,AL,Twins,AL
1724,2016,04,16,04/16/2016,01:15 PM,Reds,NL,Cardinals,NL
1605,2016,04,16,04/16/2016,01:20 PM,Rockies,NL,Cubs,NL
1510,2016,04,16,04/16/2016,03:05 PM,Royals,AL,Athletics,AL
169,2016,04,16,04/16/2016,03:05 PM,Blue Jays,AL,Red Sox,AL
923,2016,04,16,04/16/2016,03:10 PM,Mets,NL,Indians,AL
437,2016,04,16,04/16/2016,05:10 PM,White Sox,AL,Rays,AL
1045,2016,04,16,04/16/2016,06:05 PM,Nationals,NL,Phillies,NL
1836,2016,04,16,04/16/2016,06:05 PM,Brewers,NL,Pirates,NL
1433,2016,04,16,04/16/2016,06:10 PM,Tigers,AL,Astros,AL
630,2016,04,16,04/16/2016,06:10 PM,Braves,NL,Marlins,NL
11,2016,04,16,04/16/2016,07:05 PM,Orioles,AL,Rangers,AL
2247,2016,04,16,04/16/2016,07:40 PM,Diamondbacks,NL,Padres,NL
2381,2016,04,16,04/16/2016,08:10 PM,Giants,NL,Dodgers,NL
315,2016,04,16,04/16/2016,12:05 PM,Mariners,AL,Yankees,AL
1434,2016,04,17,04/17/2016,01:10 PM,Tigers,AL,Astros,AL
1561,2016,04,17,04/17/2016,01:10 PM,Angels,AL,Twins,AL
1725,2016,04,17,04/17/2016,01:15 PM,Reds,NL,Cardinals,NL
1606,2016,04,17,04/17/2016,01:20 PM,Rockies,NL,Cubs,NL
12,2016,04,17,04/17/2016,02:05 PM,Orioles,AL,Rangers,AL
1511,2016,04,17,04/17/2016,03:05 PM,Royals,AL,Athletics,AL
2248,2016,04,17,04/17/2016,03:40 PM,Diamondbacks,NL,Padres,NL
2382,2016,04,17,04/17/2016,07:05 PM,Giants,NL,Dodgers,NL
316,2016,04,17,04/17/2016,12:05 PM,Mariners,AL,Yankees,AL
924,2016,04,17,04/17/2016,12:10 PM,Mets,NL,Indians,AL
631,2016,04,17,04/17/2016,12:10 PM,Braves,NL,Marlins,NL
438,2016,04,17,04/17/2016,12:10 PM,White Sox,AL,Rays,AL
1046,2016,04,17,04/17/2016,12:35 PM,Nationals,NL,Phillies,NL
1837,2016,04,17,04/17/2016,12:35 PM,Brewers,NL,Pirates,NL
170,2016,04,17,04/17/2016,12:35 PM,Blue Jays,AL,Red Sox,AL
925,2016,04,18,04/18/2016,06:05 PM,Mets,NL,Phillies,NL
786,2016,04,18,04/18/2016,06:10 PM,Nationals,NL,Marlins,NL
1726,2016,04,18,04/18/2016,06:10 PM,Rockies,NL,Reds,NL
1562,2016,04,18,04/18/2016,07:10 PM,Brewers,NL,Twins,AL
1230,2016,04,18,04/18/2016,07:10 PM,Angels,AL,White Sox,AL
1607,2016,04,18,04/18/2016,07:15 PM,Cubs,NL,Cardinals,NL
2249,2016,04,18,04/18/2016,09:15 PM,Diamondbacks,NL,Giants,NL
171,2016,04,18,04/18/2016,10:05 AM,Blue Jays,AL,Red Sox,AL
1333,2016,04,19,04/19/2016,05:10 PM,Mariners,AL,Indians,AL
13,2016,04,19,04/19/2016,06:05 PM,Blue Jays,AL,Orioles,AL
926,2016,04,19,04/19/2016,06:05 PM,Mets,NL,Phillies,NL
317,2016,04,19,04/19/2016,06:05 PM,Athletics,AL,Yankees,AL
632,2016,04,19,04/19/2016,06:10 PM,Dodgers,NL,Braves,NL
787,2016,04,19,04/19/2016,06:10 PM,Nationals,NL,Marlins,NL
172,2016,04,19,04/19/2016,06:10 PM,Rays,AL,Red Sox,AL
1727,2016,04,19,04/19/2016,06:10 PM,Rockies,NL,Reds,NL
1435,2016,04,19,04/19/2016,06:15 PM,Tigers,AL,Royals,AL
2030,2016,04,19,04/19/2016,07:05 PM,Astros,AL,Rangers,AL
1231,2016,04,19,04/19/2016,07:10 PM,Angels,AL,White Sox,AL
1608,2016,04,19,04/19/2016,07:15 PM,Cubs,NL,Cardinals,NL
1916,2016,04,19,04/19/2016,09:10 PM,Pirates,NL,Padres,NL
