Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
122,2016,04,13,04/13/2016,06:10 PM,Orioles,AL,Red Sox,AL
123,2016,04,13,04/13/2016,07:05 PM,Reds,NL,Cubs,NL
124,2016,04,13,04/13/2016,07:10 PM,Royals,AL,Astros,AL
125,2016,04,13,04/13/2016,07:10 PM,White Sox,AL,Twins,AL
126,2016,04,13,04/13/2016,07:15 PM,Brewers,NL,Cardinals,NL
127,2016,04,13,04/13/2016,07:40 PM,Giants,NL,Rockies,NL
128,2016,04,13,04/13/2016,09:10 PM,Diamondbacks,NL,Dodgers,NL
129,2016,04,13,04/13/2016,12:10 PM,Marlins,NL,Mets,NL
130,2016,04,14,04/14/2016,02:10 PM,Giants,NL,Rockies,NL
131,2016,04,14,04/14/2016,03:05 PM,Braves,NL,Nationals,NL
132,2016,04,14,04/14/2016,06:07 PM,Yankees,AL,Blue Jays,AL
133,2016,04,14,04/14/2016,07:05 PM,Reds,NL,Cubs,NL
134,2016,04,14,04/14/2016,07:05 PM,Orioles,AL,Rangers,AL
135,2016,04,14,04/14/2016,07:10 PM,Royals,AL,Astros,AL
136,2016,04,14,04/14/2016,09:10 PM,Diamondbacks,NL,Dodgers,NL
137,2016,04,14,04/14/2016,11:35 AM,Tigers,AL,Pirates,NL
138,2016,04,14,04/14/2016,12:05 PM,Padres,NL,Phillies,NL
139,2016,04,14,04/14/2016,12:10 PM,Indians,AL,Rays,AL
140,2016,04,14,04/14/2016,12:10 PM,White Sox,AL,Twins,AL
141,2016,04,14,04/14/2016,12:45 PM,Brewers,NL,Cardinals,NL
142,2016,04,15,04/15/2016,01:20 PM,Rockies,NL,Cubs,NL
143,2016,04,15,04/15/2016,06:05 PM,Nationals,NL,Phillies,NL
144,2016,04,15,04/15/2016,06:05 PM,Brewers,NL,Pirates,NL
145,2016,04,15,04/15/2016,06:05 PM,Mariners,AL,Yankees,AL
146,2016,04,15,04/15/2016,06:10 PM,Mets,NL,Indians,AL
147,2016,04,15,04/15/2016,06:10 PM,Braves,NL,Marlins,NL
148,2016,04,15,04/15/2016,06:10 PM,White Sox,AL,Rays,AL
149,2016,04,15,04/15/2016,06:10 PM,Blue Jays,AL,Red Sox,AL
150,2016,04,15,04/15/2016,07:05 PM,Orioles,AL,Rangers,AL
151,2016,04,15,04/15/2016,07:10 PM,Tigers,AL,Astros,AL
152,2016,04,15,04/15/2016,07:10 PM,Angels,AL,Twins,AL
153,2016,04,15,04/15/2016,07:15 PM,Reds,NL,Cardinals,NL
154,2016,04,15,04/15/2016,09:05 PM,Royals,AL,Athletics,AL
155,2016,04,15,04/15/2016,09:10 PM,Giants,NL,Dodgers,NL
156,2016,04,15,04/15/2016,09:40 PM,Diamondbacks,NL,Padres,NL
