playername|playerid
Jerry Blevins|7841.0
Zach Duke|3840.0
Tony Cingrani|12555.0
Vidal Nuno|9674.0
Jose Mijares|4140.0
Paco Rodriguez|13398.0
Dan Straily|9460.0
Rex Brothers|9794.0
Jason Frasor|1906.0
Chad Gaudin|1783.0
Brian Duensing|4064.0
Jeremy Guthrie|2072.0
Tyler Duffey|13758.0
Andrew Heaney|15423.0
Scott Atchison|2642.0
Javier Lopez|1663.0
J.P. Howell|8245.0
Shane Greene|10756.0
Darren Oliver|206.0
Pedro Baez|5420.0
Jerad Eickhoff|12664.0
Fernando Rodriguez|7558.0
Jake Petricka|10534.0
Tsuyoshi Wada|13046.0
Kevin Quackenbush|12360.0
Taylor Jordan|10466.0
Luis Avilan|2882.0
Joe Thatcher|4620.0
Carlos Torres|7624.0
Christian Friedrich|7942.0
Mike Morin|13442.0
Chad Qualls|2170.0
Sam Dyson|11710.0
Tim Collins|3164.0
Odrisamer Despaigne|16017.0
Jerome Williams|1137.0
Blake Treinen|12572.0
Chris Rusin|9895.0
Shawn Tolleson|10481.0
Cody Anderson|12799.0
Seth Maness|12235.0
Brandon Kintzler|9939.0
Nate Karns|12638.0
Jose Veras|2063.0
Al Alburquerque|6324.0
Nick Tepesch|11716.0
Adam Conley|14457.0
James Russell|4089.0
Hunter Strickland|7836.0
Brandon Maurer|4878.0
Tommy Hanson|9129.0
Vincent Velasquez|11189.0
T.J. House|9121.0
Tom Gorzelanny|6244.0
Luis Ayala|1650.0
Xavier Cedeno|36.0
Neil Ramirez|7677.0
Anthony Swarzak|7466.0
Alex Wilson|9239.0
Tyler Lyons|11334.0
Zach Putnam|9080.0
Ryan Madson|1852.0
Aaron Nola|16149.0
Felipe Rivero|12076.0
Sean Gilmartin|12781.0
Yohan Pino|6955.0
Chris Hatcher|3299.0
Jeff Niemann|8591.0
Caleb Thielbar|10078.0
Cesar Ramos|3357.0
Mychal Givens|10430.0
Alexi Ogando|10261.0
Daniel Hudson|7146.0
Jason Motte|5861.0
Kevin Slowey|9918.0
Sean Burnett|1886.0
Dane de la Rosa|10095.0
Dan Jennings|8073.0
Andrew Chafin|12988.0
T.J. McFarland|3237.0
Tom Layne|7501.0
Aaron Sanchez|11490.0
Brandon Workman|11428.0
Kyle Lobstein|9178.0
Yimi Garcia|12095.0
Troy Patton|8368.0
Neftali Feliz|18.0
Derek Lowe|199.0
Jonathan Gray|14916.0
David Buchanan|11176.0
Rob Wooten|8532.0
Cory Luebke|1984.0
Todd Redmond|9943.0
Randy Wolf|976.0
J.J. Hoover|9037.0
David Hale|9756.0
Jacob Turner|10185.0
Esmil Rogers|6317.0
Steve Delabar|11827.0
Brad Boxberger|10133.0
Jonathan Pettibone|7106.0
Brandon Lyon|1312.0
Wade LeBlanc|5221.0
Alex Torres|7038.0
Wesley Wright|5960.0
Arodys Vizcaino|5498.0
Boone Logan|5525.0
Mike Adams|1937.0
Scott Downs|773.0
Chase Whitley|10982.0
Mark Lowe|7416.0
Justin Miller|8580.0
Henry Owens|13143.0
Cristhian Martinez|5337.0
Luis Severino|15890.0
Jumbo Diaz|3397.0
Justin De Fratus|4955.0
Andrew Albers|7853.0
Anthony Varvaro|2385.0
Brayan Villarreal|5180.0
Vinnie Pestano|4782.0
Nick Martinez|12730.0
John Lamb|8493.0
Tyler Thornburg|10688.0
Dale Thayer|5032.0
